date,confirm
2022-01-26,18652
2022-01-27,17487
2022-01-28,16089
2022-01-29,15754
2022-01-30,15297
2022-01-31,14220
2022-02-01,13395
2022-02-02,12729
2022-02-03,12245
2022-02-04,11782
2022-02-05,10780
2022-02-06,10138
2022-02-07,9697
2022-02-08,9216
2022-02-09,8961
2022-02-10,8736
2022-02-11,8631
2022-02-12,8573
2022-02-13,8366
2022-02-14,8384
2022-02-15,8341
2022-02-16,8205
2022-02-17,8153
2022-02-18,8033
2022-02-19,7828
2022-02-20,7945
2022-02-21,7653
2022-02-22,7529
2022-02-23,7388
2022-02-24,7288
2022-02-25,7182
2022-02-26,7271
2022-02-27,7232
2022-02-28,7478
2022-03-01,7760
2022-03-02,8147
2022-03-03,8500
2022-03-04,8974
2022-03-05,9427
2022-03-06,9931
2022-03-07,10404
2022-03-08,10964
2022-03-09,11643
2022-03-10,12220
2022-03-11,12830
2022-03-12,13255
2022-03-13,12716
2022-03-14,14354
2022-03-15,14948
2022-03-16,15707
2022-03-17,16442
2022-03-18,17151
2022-03-19,17776
2022-03-20,19127
2022-03-21,18703
2022-03-22,19517
2022-03-23,20172
2022-03-24,20655
2022-03-25,20695
2022-03-26,20705
2022-03-27,20910
2022-03-28,21073
2022-03-29,21051
2022-03-30,20944
2022-03-31,20925
2022-04-01,20909
2022-04-02,20788
2022-04-03,20629
2022-04-04,20472
2022-04-05,20256
2022-04-06,19817
2022-04-07,19425
2022-04-08,19135
2022-04-09,18989
2022-04-10,18657
2022-04-11,17927
2022-04-12,17275
2022-04-13,16560
2022-04-14,15829
2022-04-15,15137
2022-04-16,14434
2022-04-17,14094
2022-04-18,13431
2022-04-19,13186
2022-04-20,13176
2022-04-21,13124
2022-04-22,13097
2022-04-23,13120
2022-04-24,12712
2022-04-25,12492
2022-04-26,11967
2022-04-27,11438
2022-04-28,11198
2022-04-29,10921
2022-04-30,10789
2022-05-01,10706
2022-05-02,10738
2022-05-03,10558
2022-05-04,11216
2022-05-05,11253
2022-05-06,11263
2022-05-07,11205
2022-05-08,11253
2022-05-09,11297
2022-05-10,11461
2022-05-11,10709
2022-05-12,10535
2022-05-13,10566
2022-05-14,10601
2022-05-15,10659
2022-05-16,10792
2022-05-17,10659
2022-05-18,10409
2022-05-19,10164
2022-05-20,10050
2022-05-21,10020
2022-05-22,9804
2022-05-23,9407
2022-05-24,9120
2022-05-25,8992
2022-05-26,8793
2022-05-27,8452
2022-05-28,8097
2022-05-29,7975
2022-05-30,7776
2022-05-31,7556
2022-06-01,7298
2022-06-02,7090
2022-06-03,6995
2022-06-04,6812
2022-06-05,6666
2022-06-06,6479
2022-06-07,6525
2022-06-08,6452
2022-06-09,6527
2022-06-10,6436
2022-06-11,6483
2022-06-12,6448
2022-06-13,6316
2022-06-14,6211
2022-06-15,6437
2022-06-16,6566
2022-06-17,6815
2022-06-18,7027
2022-06-19,7186
2022-06-20,7603
2022-06-21,7849
2022-06-22,7898
2022-06-23,7960
2022-06-24,8011
2022-06-25,8101
2022-06-26,8277
2022-06-27,8404
2022-06-28,8610
2022-06-29,8909
2022-06-30,9229
2022-07-01,9629
2022-07-02,9800
2022-07-03,10117
2022-07-04,10399
2022-07-05,10786
2022-07-06,11070
2022-07-07,11226
2022-07-08,11228
2022-07-09,11198
2022-07-10,11036
2022-07-11,10986
2022-07-12,10572
2022-07-13,10705
2022-07-14,10643
2022-07-15,10667
2022-07-16,10917
2022-07-17,11143
2022-07-18,11644
2022-07-19,12320
2022-07-20,12603
2022-07-21,13220
2022-07-22,13673
2022-07-23,13988
2022-07-24,14148
2022-07-25,14196
2022-07-26,14279
2022-07-27,14208
2022-07-28,13964
2022-07-29,13786
2022-07-30,13515
2022-07-31,13338
2022-08-01,13122
2022-08-02,12951
2022-08-03,12672
2022-08-04,12454
2022-08-05,12261
2022-08-06,12077
2022-08-07,11814
2022-08-08,11459
2022-08-09,10905
2022-08-10,10406
2022-08-11,9929
2022-08-12,9402
2022-08-13,9026
2022-08-14,8707
2022-08-15,8245
2022-08-16,7859
2022-08-17,7503
2022-08-18,7091
2022-08-19,6796
2022-08-20,6468
2022-08-21,6405
2022-08-22,6191
2022-08-23,5924
2022-08-24,5680
2022-08-25,5480
2022-08-26,5320
2022-08-27,5292
2022-08-28,5023
2022-08-29,4847
2022-08-30,4686
2022-08-31,4476
2022-09-01,4318
2022-09-02,4140
2022-09-03,3973
2022-09-04,3833
2022-09-05,3629
2022-09-06,3383
2022-09-07,3195
2022-09-08,3046
2022-09-09,2923
2022-09-10,2840
2022-09-11,2763
2022-09-12,2654
2022-09-13,2550
2022-09-14,2476
2022-09-15,2421
2022-09-16,2351
2022-09-17,2305
2022-09-18,2261
2022-09-19,2219
2022-09-20,2145
2022-09-21,2083
2022-09-22,1975
2022-09-23,1929
2022-09-24,1912
2022-09-25,1890
2022-09-26,1843
2022-09-27,1821
2022-09-28,1791
2022-09-29,1777
2022-09-30,1778
2022-10-01,1741
2022-10-02,1688
2022-10-03,1559
2022-10-04,1500
2022-10-05,1501
2022-10-06,1520
2022-10-07,1491
2022-10-08,1499
2022-10-09,1578
2022-10-10,1676
2022-10-11,1700
2022-10-12,1690
2022-10-13,1679
2022-10-14,1671
2022-10-15,1554
2022-10-16,1395
2022-10-17,1452
2022-10-18,1398
2022-10-19,1262
2022-10-20,1222
2022-10-21,1146
2022-10-22,1289
2022-10-23,1367
2022-10-24,1266
2022-10-25,1287
2022-10-26,1379
2022-10-27,1386
2022-10-28,1454
2022-10-29,1421
2022-10-30,1448
2022-10-31,1484
2022-11-01,1557
2022-11-02,1649
2022-11-03,1756
2022-11-04,1856
2022-11-05,1958
2022-11-06,2071
2022-11-07,2224
2022-11-08,2461
2022-11-09,2651
2022-11-10,2812
2022-11-11,3001
2022-11-12,3177
2022-11-13,3332
2022-11-14,3484
2022-11-15,3608
2022-11-16,3787
2022-11-17,3903
2022-11-18,3971
2022-11-19,4002
