date,confirm
2020-01-25,3
2020-01-26,0
2020-01-27,1
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,2
2020-03-02,3
2020-03-03,6
2020-03-04,6
2020-03-05,4
2020-03-06,7
2020-03-07,1
2020-03-08,7
2020-03-09,13
2020-03-10,6
2020-03-11,16
2020-03-12,14
2020-03-13,19
2020-03-14,20
2020-03-15,36
2020-03-16,29
2020-03-17,64
2020-03-18,45
2020-03-19,56
2020-03-20,86
2020-03-21,122
2020-03-22,121
2020-03-23,175
2020-03-24,189
2020-03-25,203
2020-03-26,181
2020-03-27,211
2020-03-28,141
2020-03-29,119
2020-03-30,85
2020-03-31,118
2020-04-01,113
2020-04-02,89
2020-04-03,101
2020-04-04,69
2020-04-05,52
2020-04-06,32
2020-04-07,38
2020-04-08,43
2020-04-09,36
2020-04-10,24
2020-04-11,15
2020-04-12,7
2020-04-13,5
2020-04-14,21
2020-04-15,20
2020-04-16,22
2020-04-17,14
2020-04-18,17
2020-04-19,7
2020-04-20,2
2020-04-21,6
2020-04-22,3
2020-04-23,8
2020-04-24,14
2020-04-25,3
2020-04-26,1
2020-04-27,5
2020-04-28,10
2020-04-29,3
2020-04-30,14
2020-05-01,2
2020-05-02,2
2020-05-03,1
2020-05-04,4
2020-05-05,4
2020-05-06,3
2020-05-07,2
2020-05-08,4
2020-05-09,1
2020-05-10,0
2020-05-11,0
2020-05-12,5
2020-05-13,3
2020-05-14,3
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,1
2020-05-19,3
2020-05-20,1
2020-05-21,3
2020-05-22,0
2020-05-23,1
2020-05-24,1
2020-05-25,1
2020-05-26,0
2020-05-27,0
2020-05-28,1
2020-05-29,0
2020-05-30,2
2020-05-31,4
2020-06-01,4
2020-06-02,1
2020-06-03,2
2020-06-04,3
2020-06-05,0
2020-06-06,1
2020-06-07,2
2020-06-08,1
2020-06-09,3
2020-06-10,0
2020-06-11,3
2020-06-12,3
2020-06-13,8
2020-06-14,6
2020-06-15,0
2020-06-16,0
2020-06-17,2
2020-06-18,1
2020-06-19,1
2020-06-20,6
2020-06-21,1
2020-06-22,1
2020-06-23,7
2020-06-24,4
2020-06-25,4
2020-06-26,5
2020-06-27,6
2020-06-28,3
2020-06-29,2
2020-06-30,8
2020-07-01,2
2020-07-02,2
2020-07-03,7
2020-07-04,9
2020-07-05,3
2020-07-06,7
2020-07-07,2
2020-07-08,6
2020-07-09,7
2020-07-10,4
2020-07-11,2
2020-07-12,12
2020-07-13,15
2020-07-14,9
2020-07-15,7
2020-07-16,9
2020-07-17,9
2020-07-18,14
2020-07-19,18
2020-07-20,13
2020-07-21,14
2020-07-22,16
2020-07-23,7
2020-07-24,16
2020-07-25,15
2020-07-26,7
2020-07-27,14
2020-07-28,22
2020-07-29,15
2020-07-30,21
2020-07-31,15
2020-08-01,14
2020-08-02,10
2020-08-03,13
2020-08-04,8
2020-08-05,13
2020-08-06,11
2020-08-07,7
2020-08-08,14
2020-08-09,12
2020-08-10,20
2020-08-11,15
2020-08-12,6
2020-08-13,12
2020-08-14,7
2020-08-15,6
2020-08-16,5
2020-08-17,2
2020-08-18,8
2020-08-19,1
2020-08-20,5
2020-08-21,7
2020-08-22,2
2020-08-23,2
2020-08-24,2
2020-08-25,6
2020-08-26,12
2020-08-27,15
2020-08-28,9
2020-08-29,7
2020-08-30,8
2020-08-31,12
2020-09-01,15
2020-09-02,9
2020-09-03,6
2020-09-04,7
2020-09-05,8
2020-09-06,4
2020-09-07,9
2020-09-08,5
2020-09-09,10
2020-09-10,6
2020-09-11,8
2020-09-12,3
2020-09-13,4
2020-09-14,3
2020-09-15,3
2020-09-16,4
2020-09-17,2
2020-09-18,2
2020-09-19,1
2020-09-20,1
2020-09-21,0
2020-09-22,5
2020-09-23,2
2020-09-24,1
2020-09-25,1
2020-09-26,0
2020-09-27,0
2020-09-28,3
2020-09-29,2
2020-09-30,3
2020-10-01,2
2020-10-02,0
2020-10-03,1
2020-10-04,2
2020-10-05,3
2020-10-06,1
2020-10-07,15
2020-10-08,5
2020-10-09,4
2020-10-10,6
2020-10-11,3
2020-10-12,10
2020-10-13,12
2020-10-14,8
2020-10-15,2
2020-10-16,6
2020-10-17,4
2020-10-18,5
2020-10-19,9
2020-10-20,3
2020-10-21,4
2020-10-22,2
2020-10-23,4
2020-10-24,4
2020-10-25,2
2020-10-26,13
2020-10-27,2
2020-10-28,4
2020-10-29,7
2020-10-30,2
2020-10-31,4
2020-11-01,4
2020-11-02,4
2020-11-03,6
2020-11-04,1
2020-11-05,8
2020-11-06,4
2020-11-07,2
2020-11-08,4
2020-11-09,3
2020-11-10,0
2020-11-11,1
2020-11-12,0
2020-11-13,4
2020-11-14,5
2020-11-15,1
2020-11-16,2
2020-11-17,1
2020-11-18,3
2020-11-19,1
2020-11-20,2
2020-11-21,4
2020-11-22,3
2020-11-23,1
2020-11-24,2
2020-11-25,0
2020-11-26,1
2020-11-27,6
2020-11-28,2
2020-11-29,5
2020-11-30,7
2020-12-01,5
2020-12-02,6
2020-12-03,3
2020-12-04,2
2020-12-05,3
2020-12-06,4
2020-12-07,2
2020-12-08,1
2020-12-09,5
2020-12-10,4
2020-12-11,2
2020-12-12,3
2020-12-13,4
2020-12-14,4
2020-12-15,2
2020-12-16,8
2020-12-17,24
2020-12-18,24
2020-12-19,29
2020-12-20,23
2020-12-21,10
2020-12-22,13
2020-12-23,15
2020-12-24,10
2020-12-25,9
2020-12-26,12
2020-12-27,7
2020-12-28,7
2020-12-29,27
2020-12-30,6
2020-12-31,10
2021-01-01,14
2021-01-02,6
2021-01-03,8
2021-01-04,4
2021-01-05,3
2021-01-06,8
2021-01-07,4
2021-01-08,9
2021-01-09,4
2021-01-10,8
2021-01-11,9
2021-01-12,3
2021-01-13,0
2021-01-14,1
2021-01-15,8
2021-01-16,12
2021-01-17,0
2021-01-18,1
2021-01-19,2
2021-01-20,3
2021-01-21,0
2021-01-22,0
2021-01-23,1
2021-01-24,0
2021-01-25,3
2021-01-26,0
2021-01-27,3
2021-01-28,0
2021-01-29,2
2021-01-30,1
2021-01-31,3
2021-02-01,0
2021-02-02,0
2021-02-03,1
2021-02-04,0
2021-02-05,2
2021-02-06,0
2021-02-07,4
2021-02-08,3
2021-02-09,1
2021-02-10,1
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,1
2021-02-16,1
2021-02-17,0
2021-02-18,1
2021-02-19,0
2021-02-20,2
2021-02-21,1
2021-02-22,3
2021-02-23,3
2021-02-24,3
2021-02-25,4
2021-02-26,3
2021-02-27,2
2021-02-28,3
